label,text,cleaned_text,tokens,final_text
Migraine,"Along with excessive appetite, a stiff neck, depression, impatience, and visual disturbance, I've also been suffering indigestion, headaches, blurred vision, and stomach problems.",along with excessive appetite a stiff neck depression impatience and visual disturbance ive also been suffering indigestion headaches blurred vision and stomach problems,"['along', 'excessive', 'appetite', 'stiff', 'neck', 'depression', 'impatience', 'visual', 'disturbance', 'ive', 'also', 'suffering', 'indigestion', 'headache', 'blurred', 'vision', 'stomach', 'problem']",along excessive appetite stiff neck depression impatience visual disturbance ive also suffering indigestion headache blurred vision stomach problem
Common Cold,"My eyes are usually red and inflamed, and I have the impression that something is clogging my sinuses. I've been coughing up a lot of gunk, and my chest hurts. I can't smell anything, and my muscles are aching.",my eyes are usually red and inflamed and i have the impression that something is clogging my sinuses ive been coughing up a lot of gunk and my chest hurts i cant smell anything and my muscles are aching,"['eye', 'usually', 'red', 'inflamed', 'impression', 'something', 'clogging', 'sinus', 'ive', 'coughing', 'lot', 'gunk', 'chest', 'hurt', 'cant', 'smell', 'anything', 'muscle', 'aching']",eye usually red inflamed impression something clogging sinus ive coughing lot gunk chest hurt cant smell anything muscle aching
Common Cold,I've been feeling really exhausted and sick to my stomach. I've had a really bad cough and my throat has hurt a lot. I've experienced substantial sinus pressure and a congested nose. I'm really unpleasant and worn out.,ive been feeling really exhausted and sick to my stomach ive had a really bad cough and my throat has hurt a lot ive experienced substantial sinus pressure and a congested nose im really unpleasant and worn out,"['ive', 'feeling', 'really', 'exhausted', 'sick', 'stomach', 'ive', 'really', 'bad', 'cough', 'throat', 'hurt', 'lot', 'ive', 'experienced', 'substantial', 'sinus', 'pressure', 'congested', 'nose', 'im', 'really', 'unpleasant', 'worn']",ive feeling really exhausted sick stomach ive really bad cough throat hurt lot ive experienced substantial sinus pressure congested nose im really unpleasant worn
Typhoid,"I have lost my appetite and have noticed a significant weight loss. I have abdominal pain, especially in the area of my stomach and intestines. I am concerned about my health.",i have lost my appetite and have noticed a significant weight loss i have abdominal pain especially in the area of my stomach and intestines i am concerned about my health,"['lost', 'appetite', 'noticed', 'significant', 'weight', 'loss', 'abdominal', 'pain', 'especially', 'area', 'stomach', 'intestine', 'concerned', 'health']",lost appetite noticed significant weight loss abdominal pain especially area stomach intestine concerned health
Malaria,"I've had intense itching, chills, vomiting, and a high fever. I'm also sweating excessively and have a headache. Nausea and muscle pain have also been bothering me.",ive had intense itching chills vomiting and a high fever im also sweating excessively and have a headache nausea and muscle pain have also been bothering me,"['ive', 'intense', 'itching', 'chill', 'vomiting', 'high', 'fever', 'im', 'also', 'sweating', 'excessively', 'headache', 'nausea', 'muscle', 'pain', 'also', 'bothering']",ive intense itching chill vomiting high fever im also sweating excessively headache nausea muscle pain also bothering
gastroesophageal reflux disease,"I have heartburn and indigestion. I regularly throw up everything I eat, and swallowing is difficult for me since food gets stuck in my throat. I'm experiencing pain in my upper abdomen.",i have heartburn and indigestion i regularly throw up everything i eat and swallowing is difficult for me since food gets stuck in my throat im experiencing pain in my upper abdomen,"['heartburn', 'indigestion', 'regularly', 'throw', 'everything', 'eat', 'swallowing', 'difficult', 'since', 'food', 'get', 'stuck', 'throat', 'im', 'experiencing', 'pain', 'upper', 'abdomen']",heartburn indigestion regularly throw everything eat swallowing difficult since food get stuck throat im experiencing pain upper abdomen
Impetigo,I have rashes on my face. I am starting to have small sores around my nose and often a yellow fluid comes out of the sores. The sores are becoming extremely painful.,i have rashes on my face i am starting to have small sores around my nose and often a yellow fluid comes out of the sores the sores are becoming extremely painful,"['rash', 'face', 'starting', 'small', 'sore', 'around', 'nose', 'often', 'yellow', 'fluid', 'come', 'sore', 'sore', 'becoming', 'extremely', 'painful']",rash face starting small sore around nose often yellow fluid come sore sore becoming extremely painful
Arthritis,I've been feeling really weak in my muscles and my neck has been really stiff. My joints have been swelling up and it's hard for me to move around without feeling stiff. Walking has been really painful too.,ive been feeling really weak in my muscles and my neck has been really stiff my joints have been swelling up and its hard for me to move around without feeling stiff walking has been really painful too,"['ive', 'feeling', 'really', 'weak', 'muscle', 'neck', 'really', 'stiff', 'joint', 'swelling', 'hard', 'move', 'around', 'without', 'feeling', 'stiff', 'walking', 'really', 'painful']",ive feeling really weak muscle neck really stiff joint swelling hard move around without feeling stiff walking really painful
Dengue,"The fatigue I have been feeling is extreme and makes it difficult for me to perform even basic tasks. I feel vomitting and developed rashes on my arms, neck and legs. ",the fatigue i have been feeling is extreme and makes it difficult for me to perform even basic tasks i feel vomitting and developed rashes on my arms neck and legs ,"['fatigue', 'feeling', 'extreme', 'make', 'difficult', 'perform', 'even', 'basic', 'task', 'feel', 'vomitting', 'developed', 'rash', 'arm', 'neck', 'leg']",fatigue feeling extreme make difficult perform even basic task feel vomitting developed rash arm neck leg
diabetes,"I have a chronic dry cough. I have palpitations and my infections don't appear to be getting better. I also have a painful throat issue, although it does seem to go away.",i have a chronic dry cough i have palpitations and my infections dont appear to be getting better i also have a painful throat issue although it does seem to go away,"['chronic', 'dry', 'cough', 'palpitation', 'infection', 'dont', 'appear', 'getting', 'better', 'also', 'painful', 'throat', 'issue', 'although', 'seem', 'go', 'away']",chronic dry cough palpitation infection dont appear getting better also painful throat issue although seem go away
Dimorphic Hemorrhoids,"My bowel motions are giving me a lot of problems right now. Going is difficult, and going hurts when I do it. When I go, my anus bleeds and is really uncomfortable. I'm in a lot of discomfort and it hurts extremely bad.",my bowel motions are giving me a lot of problems right now going is difficult and going hurts when i do it when i go my anus bleeds and is really uncomfortable im in a lot of discomfort and it hurts extremely bad,"['bowel', 'motion', 'giving', 'lot', 'problem', 'right', 'going', 'difficult', 'going', 'hurt', 'go', 'anus', 'bleeds', 'really', 'uncomfortable', 'im', 'lot', 'discomfort', 'hurt', 'extremely', 'bad']",bowel motion giving lot problem right going difficult going hurt go anus bleeds really uncomfortable im lot discomfort hurt extremely bad
Common Cold,"I've been sneezing nonstop and I can't seem to shake this chill. I'm feeling really weak and tired, and my cough won't go away. My fever is really high",ive been sneezing nonstop and i cant seem to shake this chill im feeling really weak and tired and my cough wont go away my fever is really high,"['ive', 'sneezing', 'nonstop', 'cant', 'seem', 'shake', 'chill', 'im', 'feeling', 'really', 'weak', 'tired', 'cough', 'wont', 'go', 'away', 'fever', 'really', 'high']",ive sneezing nonstop cant seem shake chill im feeling really weak tired cough wont go away fever really high
gastroesophageal reflux disease,"I get frequent heartburn and indigestion, especially eating spicy foods or fatty foods. I get chest pain that gets worse when I lie down or bend over. I also often have chest pain",i get frequent heartburn and indigestion especially eating spicy foods or fatty foods i get chest pain that gets worse when i lie down or bend over i also often have chest pain,"['get', 'frequent', 'heartburn', 'indigestion', 'especially', 'eating', 'spicy', 'food', 'fatty', 'food', 'get', 'chest', 'pain', 'get', 'worse', 'lie', 'bend', 'also', 'often', 'chest', 'pain']",get frequent heartburn indigestion especially eating spicy food fatty food get chest pain get worse lie bend also often chest pain
Bronchial Asthma,"I've been having breathing issues, a persistent cough, and exhaustion. I've been coughing up a lot of thick, mucoid sputum and have a very high fever. I'm just feeling so drained and tired from having to deal with all of this.",ive been having breathing issues a persistent cough and exhaustion ive been coughing up a lot of thick mucoid sputum and have a very high fever im just feeling so drained and tired from having to deal with all of this,"['ive', 'breathing', 'issue', 'persistent', 'cough', 'exhaustion', 'ive', 'coughing', 'lot', 'thick', 'mucoid', 'sputum', 'high', 'fever', 'im', 'feeling', 'drained', 'tired', 'deal']",ive breathing issue persistent cough exhaustion ive coughing lot thick mucoid sputum high fever im feeling drained tired deal
Hypertension,"I have been experiencing chest pain, dizziness, and a headache that feels like a continual pressure in my forehead.",i have been experiencing chest pain dizziness and a headache that feels like a continual pressure in my forehead,"['experiencing', 'chest', 'pain', 'dizziness', 'headache', 'feel', 'like', 'continual', 'pressure', 'forehead']",experiencing chest pain dizziness headache feel like continual pressure forehead
Cervical spondylosis,"Back pain, a dry cough, and stiffness in my arms and legs have been bothering me. I've had problems staying balanced and experience dizziness, and my neck hurts.",back pain a dry cough and stiffness in my arms and legs have been bothering me ive had problems staying balanced and experience dizziness and my neck hurts,"['back', 'pain', 'dry', 'cough', 'stiffness', 'arm', 'leg', 'bothering', 'ive', 'problem', 'staying', 'balanced', 'experience', 'dizziness', 'neck', 'hurt']",back pain dry cough stiffness arm leg bothering ive problem staying balanced experience dizziness neck hurt
Acne,"I've recently been experiencing a severe skin rash. Blackheads and pimples packed with pus are everywhere. Additionally, my skin has been scurring a lot.",ive recently been experiencing a severe skin rash blackheads and pimples packed with pus are everywhere additionally my skin has been scurring a lot,"['ive', 'recently', 'experiencing', 'severe', 'skin', 'rash', 'blackhead', 'pimple', 'packed', 'pu', 'everywhere', 'additionally', 'skin', 'scurring', 'lot']",ive recently experiencing severe skin rash blackhead pimple packed pu everywhere additionally skin scurring lot
Acne,I've recently developed a terrible rash on my skin. It's riddled with blackheads and pus-filled pimples. My skin has also been scurrying everywhere.,ive recently developed a terrible rash on my skin its riddled with blackheads and pusfilled pimples my skin has also been scurrying everywhere,"['ive', 'recently', 'developed', 'terrible', 'rash', 'skin', 'riddled', 'blackhead', 'pusfilled', 'pimple', 'skin', 'also', 'scurrying', 'everywhere']",ive recently developed terrible rash skin riddled blackhead pusfilled pimple skin also scurrying everywhere
urinary tract infection,"I have to go the bathroom all the time, but the urine output is very low often just a few drops. My stomach hurts a lot and and cant seem to be able to control my urges to pee",i have to go the bathroom all the time but the urine output is very low often just a few drops my stomach hurts a lot and and cant seem to be able to control my urges to pee,"['go', 'bathroom', 'time', 'urine', 'output', 'low', 'often', 'drop', 'stomach', 'hurt', 'lot', 'cant', 'seem', 'able', 'control', 'urge', 'pee']",go bathroom time urine output low often drop stomach hurt lot cant seem able control urge pee
Dimorphic Hemorrhoids,"I've been experiencing problems using the restroom recently. It's quite difficult for me to go, and it hurts when I do. I've also been experiencing buttock soreness and bloody stools. My anus has also been quite itching and sensitive.",ive been experiencing problems using the restroom recently its quite difficult for me to go and it hurts when i do ive also been experiencing buttock soreness and bloody stools my anus has also been quite itching and sensitive,"['ive', 'experiencing', 'problem', 'using', 'restroom', 'recently', 'quite', 'difficult', 'go', 'hurt', 'ive', 'also', 'experiencing', 'buttock', 'soreness', 'bloody', 'stool', 'anus', 'also', 'quite', 'itching', 'sensitive']",ive experiencing problem using restroom recently quite difficult go hurt ive also experiencing buttock soreness bloody stool anus also quite itching sensitive
Acne,"This morning, I saw a large rash all over my body. There are a lot of pus-filled pimples and blackheads all over my face, and my skin has been scurrying a lot.",this morning i saw a large rash all over my body there are a lot of pusfilled pimples and blackheads all over my face and my skin has been scurrying a lot,"['morning', 'saw', 'large', 'rash', 'body', 'lot', 'pusfilled', 'pimple', 'blackhead', 'face', 'skin', 'scurrying', 'lot']",morning saw large rash body lot pusfilled pimple blackhead face skin scurrying lot
Cervical spondylosis,"Back pain, a productive cough, and limb weakness have been bothering me. I have balance and dizzy concerns, and my neck hurts.",back pain a productive cough and limb weakness have been bothering me i have balance and dizzy concerns and my neck hurts,"['back', 'pain', 'productive', 'cough', 'limb', 'weakness', 'bothering', 'balance', 'dizzy', 'concern', 'neck', 'hurt']",back pain productive cough limb weakness bothering balance dizzy concern neck hurt
Bronchial Asthma,"I've been having a tough time with this constant cough, difficulty breathing, and fatigue. My fever is high, and I've been coughing up a lot of thick, mucoid sputum. It's all been rather draining and exhausting, and I'm feeling quite sick at the moment.",ive been having a tough time with this constant cough difficulty breathing and fatigue my fever is high and ive been coughing up a lot of thick mucoid sputum its all been rather draining and exhausting and im feeling quite sick at the moment,"['ive', 'tough', 'time', 'constant', 'cough', 'difficulty', 'breathing', 'fatigue', 'fever', 'high', 'ive', 'coughing', 'lot', 'thick', 'mucoid', 'sputum', 'rather', 'draining', 'exhausting', 'im', 'feeling', 'quite', 'sick', 'moment']",ive tough time constant cough difficulty breathing fatigue fever high ive coughing lot thick mucoid sputum rather draining exhausting im feeling quite sick moment
Jaundice,"The itch, the nausea, and the weariness have been bothering me. In addition, I developed a fever and lost weight. My pee is black, and I've developed a yellow rash. Additionally, I've had stomach ache.",the itch the nausea and the weariness have been bothering me in addition i developed a fever and lost weight my pee is black and ive developed a yellow rash additionally ive had stomach ache,"['itch', 'nausea', 'weariness', 'bothering', 'addition', 'developed', 'fever', 'lost', 'weight', 'pee', 'black', 'ive', 'developed', 'yellow', 'rash', 'additionally', 'ive', 'stomach', 'ache']",itch nausea weariness bothering addition developed fever lost weight pee black ive developed yellow rash additionally ive stomach ache
Dengue,"I have been experiencing muscle pain and headache. The muscle pain feels like a constant ache and is worse when I try to use the affected muscles. There are small red spots developing on my face, neck and arms.",i have been experiencing muscle pain and headache the muscle pain feels like a constant ache and is worse when i try to use the affected muscles there are small red spots developing on my face neck and arms,"['experiencing', 'muscle', 'pain', 'headache', 'muscle', 'pain', 'feel', 'like', 'constant', 'ache', 'worse', 'try', 'use', 'affected', 'muscle', 'small', 'red', 'spot', 'developing', 'face', 'neck', 'arm']",experiencing muscle pain headache muscle pain feel like constant ache worse try use affected muscle small red spot developing face neck arm
Psoriasis,"My skin is peeling in places, especially on my knees, elbows, and arms. This peeling is often accompanied by a painful or burning sensation. I am also developing small dents on my nails, which is really concerning.",my skin is peeling in places especially on my knees elbows and arms this peeling is often accompanied by a painful or burning sensation i am also developing small dents on my nails which is really concerning,"['skin', 'peeling', 'place', 'especially', 'knee', 'elbow', 'arm', 'peeling', 'often', 'accompanied', 'painful', 'burning', 'sensation', 'also', 'developing', 'small', 'dent', 'nail', 'really', 'concerning']",skin peeling place especially knee elbow arm peeling often accompanied painful burning sensation also developing small dent nail really concerning
Psoriasis,"Because of dry, flaky areas on my skin, I am prone to infections. My joints are in excruciating agony. The skin on my knees and elbows is beginning to flake.",because of dry flaky areas on my skin i am prone to infections my joints are in excruciating agony the skin on my knees and elbows is beginning to flake,"['dry', 'flaky', 'area', 'skin', 'prone', 'infection', 'joint', 'excruciating', 'agony', 'skin', 'knee', 'elbow', 'beginning', 'flake']",dry flaky area skin prone infection joint excruciating agony skin knee elbow beginning flake
Impetigo,"Over the last two days, the rash on my face has gotten more severe and inflamed, and the blisters have begun to bleed clear pus. It is really painful to deal with.",over the last two days the rash on my face has gotten more severe and inflamed and the blisters have begun to bleed clear pus it is really painful to deal with,"['last', 'two', 'day', 'rash', 'face', 'gotten', 'severe', 'inflamed', 'blister', 'begun', 'bleed', 'clear', 'pu', 'really', 'painful', 'deal']",last two day rash face gotten severe inflamed blister begun bleed clear pu really painful deal
Pneumonia,"I'm drenched with sweat and struggling to breathe. I don't feel well and have a lot of mucous in my throat. My chest aches, and my heart is racing. I'm coughing up mucus that is crimson in colour.",im drenched with sweat and struggling to breathe i dont feel well and have a lot of mucous in my throat my chest aches and my heart is racing im coughing up mucus that is crimson in colour,"['im', 'drenched', 'sweat', 'struggling', 'breathe', 'dont', 'feel', 'well', 'lot', 'mucous', 'throat', 'chest', 'ache', 'heart', 'racing', 'im', 'coughing', 'mucus', 'crimson', 'colour']",im drenched sweat struggling breathe dont feel well lot mucous throat chest ache heart racing im coughing mucus crimson colour
Typhoid,"I am having a terrible pain in my abdominal part, and I've been feeling really nauseated. I'm also experiencing a mild fever. I am really worried.",i am having a terrible pain in my abdominal part and ive been feeling really nauseated im also experiencing a mild fever i am really worried,"['terrible', 'pain', 'abdominal', 'part', 'ive', 'feeling', 'really', 'nauseated', 'im', 'also', 'experiencing', 'mild', 'fever', 'really', 'worried']",terrible pain abdominal part ive feeling really nauseated im also experiencing mild fever really worried
peptic ulcer disease,"I have a burning sensation in my upper abdomen, ofetn between or at night. I have heartburn and indigestion and often feel very nauseous",i have a burning sensation in my upper abdomen ofetn between or at night i have heartburn and indigestion and often feel very nauseous,"['burning', 'sensation', 'upper', 'abdomen', 'ofetn', 'night', 'heartburn', 'indigestion', 'often', 'feel', 'nauseous']",burning sensation upper abdomen ofetn night heartburn indigestion often feel nauseous
Malaria,"Strong itchiness, chills, nausea, and a high fever are all part of my current condition. Besides having a headache, I've been perspiring a lot. I've been bothered by nausea as well as muscle ache.",strong itchiness chills nausea and a high fever are all part of my current condition besides having a headache ive been perspiring a lot ive been bothered by nausea as well as muscle ache,"['strong', 'itchiness', 'chill', 'nausea', 'high', 'fever', 'part', 'current', 'condition', 'besides', 'headache', 'ive', 'perspiring', 'lot', 'ive', 'bothered', 'nausea', 'well', 'muscle', 'ache']",strong itchiness chill nausea high fever part current condition besides headache ive perspiring lot ive bothered nausea well muscle ache
Psoriasis,"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them.",there is a silver like dusting on my skin especially on my lower back and scalp this dusting is made up of small scales that flake off easily when i scratch them,"['silver', 'like', 'dusting', 'skin', 'especially', 'lower', 'back', 'scalp', 'dusting', 'made', 'small', 'scale', 'flake', 'easily', 'scratch']",silver like dusting skin especially lower back scalp dusting made small scale flake easily scratch
Jaundice,"I've had a scratchy stomach and been throwing up. I have also lost weight and am really exhausted. I have a high fever and yellow skin. As well as you, I have been having stomach pain.",ive had a scratchy stomach and been throwing up i have also lost weight and am really exhausted i have a high fever and yellow skin as well as you i have been having stomach pain,"['ive', 'scratchy', 'stomach', 'throwing', 'also', 'lost', 'weight', 'really', 'exhausted', 'high', 'fever', 'yellow', 'skin', 'well', 'stomach', 'pain']",ive scratchy stomach throwing also lost weight really exhausted high fever yellow skin well stomach pain
Bronchial Asthma,"I have a persistent cough and have been feeling quite fatigued. My fever is through the roof, and I'm having trouble breathing. When I cough, I also cough up a lot of mucous.",i have a persistent cough and have been feeling quite fatigued my fever is through the roof and im having trouble breathing when i cough i also cough up a lot of mucous,"['persistent', 'cough', 'feeling', 'quite', 'fatigued', 'fever', 'roof', 'im', 'trouble', 'breathing', 'cough', 'also', 'cough', 'lot', 'mucous']",persistent cough feeling quite fatigued fever roof im trouble breathing cough also cough lot mucous
gastroesophageal reflux disease,"Even when I don't have anything acidic in my stomach, I constantly have a sour taste in my mouth. I frequently have a lump in my throat and the hiccups.",even when i dont have anything acidic in my stomach i constantly have a sour taste in my mouth i frequently have a lump in my throat and the hiccups,"['even', 'dont', 'anything', 'acidic', 'stomach', 'constantly', 'sour', 'taste', 'mouth', 'frequently', 'lump', 'throat', 'hiccup']",even dont anything acidic stomach constantly sour taste mouth frequently lump throat hiccup
Hypertension,"I've been experiencing balance issues, a headache, chest pain, and dizziness. My ability to concentrate and focus has also been challenging.",ive been experiencing balance issues a headache chest pain and dizziness my ability to concentrate and focus has also been challenging,"['ive', 'experiencing', 'balance', 'issue', 'headache', 'chest', 'pain', 'dizziness', 'ability', 'concentrate', 'focus', 'also', 'challenging']",ive experiencing balance issue headache chest pain dizziness ability concentrate focus also challenging
Jaundice,"I've been experiencing intense itchiness, nausea, and exhaustion. I also had a high fever and lost weight. Both my skin and my urine have become yellow. Additionally, my stomach hurts.",ive been experiencing intense itchiness nausea and exhaustion i also had a high fever and lost weight both my skin and my urine have become yellow additionally my stomach hurts,"['ive', 'experiencing', 'intense', 'itchiness', 'nausea', 'exhaustion', 'also', 'high', 'fever', 'lost', 'weight', 'skin', 'urine', 'become', 'yellow', 'additionally', 'stomach', 'hurt']",ive experiencing intense itchiness nausea exhaustion also high fever lost weight skin urine become yellow additionally stomach hurt
Cervical spondylosis,"I've been experiencing back pain, a dry cough, and muscle weakness. I've been experiencing neck pain, feeling lightheaded, and having trouble standing still.",ive been experiencing back pain a dry cough and muscle weakness ive been experiencing neck pain feeling lightheaded and having trouble standing still,"['ive', 'experiencing', 'back', 'pain', 'dry', 'cough', 'muscle', 'weakness', 'ive', 'experiencing', 'neck', 'pain', 'feeling', 'lightheaded', 'trouble', 'standing', 'still']",ive experiencing back pain dry cough muscle weakness ive experiencing neck pain feeling lightheaded trouble standing still
drug reaction,"I have headaches and migraines, and I have been having difficulties sleeping. My entire body has been shaking and twitching. Sometimes I become lightheaded.",i have headaches and migraines and i have been having difficulties sleeping my entire body has been shaking and twitching sometimes i become lightheaded,"['headache', 'migraine', 'difficulty', 'sleeping', 'entire', 'body', 'shaking', 'twitching', 'sometimes', 'become', 'lightheaded']",headache migraine difficulty sleeping entire body shaking twitching sometimes become lightheaded
Pneumonia,"I've been suffering with chills, tiredness, and a cough recently. I've been sweating tremendously and feeling overall unwell and weak. I've also had some thick, black phlegm. My chest aches, and my heart has been racing.",ive been suffering with chills tiredness and a cough recently ive been sweating tremendously and feeling overall unwell and weak ive also had some thick black phlegm my chest aches and my heart has been racing,"['ive', 'suffering', 'chill', 'tiredness', 'cough', 'recently', 'ive', 'sweating', 'tremendously', 'feeling', 'overall', 'unwell', 'weak', 'ive', 'also', 'thick', 'black', 'phlegm', 'chest', 'ache', 'heart', 'racing']",ive suffering chill tiredness cough recently ive sweating tremendously feeling overall unwell weak ive also thick black phlegm chest ache heart racing
diabetes,I often feel the want to urinate and experience these intense desires. I often feel dizzy and confused. I also lost my sight.,i often feel the want to urinate and experience these intense desires i often feel dizzy and confused i also lost my sight,"['often', 'feel', 'want', 'urinate', 'experience', 'intense', 'desire', 'often', 'feel', 'dizzy', 'confused', 'also', 'lost', 'sight']",often feel want urinate experience intense desire often feel dizzy confused also lost sight
Pneumonia,"I've got a high fever and can't seem to catch my breath. I've been sweating profusely and generally feeling ill and weak. I've also had some quite thick and black phlegm. My chest aches, and my heart has been racing rapidly.",ive got a high fever and cant seem to catch my breath ive been sweating profusely and generally feeling ill and weak ive also had some quite thick and black phlegm my chest aches and my heart has been racing rapidly,"['ive', 'got', 'high', 'fever', 'cant', 'seem', 'catch', 'breath', 'ive', 'sweating', 'profusely', 'generally', 'feeling', 'ill', 'weak', 'ive', 'also', 'quite', 'thick', 'black', 'phlegm', 'chest', 'ache', 'heart', 'racing', 'rapidly']",ive got high fever cant seem catch breath ive sweating profusely generally feeling ill weak ive also quite thick black phlegm chest ache heart racing rapidly
diabetes,"I have trouble breathing, especially when exercising. I'm flushed and sweating in an unexpected way. I have yeast infections a lot.",i have trouble breathing especially when exercising im flushed and sweating in an unexpected way i have yeast infections a lot,"['trouble', 'breathing', 'especially', 'exercising', 'im', 'flushed', 'sweating', 'unexpected', 'way', 'yeast', 'infection', 'lot']",trouble breathing especially exercising im flushed sweating unexpected way yeast infection lot
Typhoid,"I have constipation and belly pain, and it's been really uncomfortable. The belly pain has been getting worse and is starting to affect my daily life. Moreover, I get chills every night, followed by a mild fever.",i have constipation and belly pain and its been really uncomfortable the belly pain has been getting worse and is starting to affect my daily life moreover i get chills every night followed by a mild fever,"['constipation', 'belly', 'pain', 'really', 'uncomfortable', 'belly', 'pain', 'getting', 'worse', 'starting', 'affect', 'daily', 'life', 'moreover', 'get', 'chill', 'every', 'night', 'followed', 'mild', 'fever']",constipation belly pain really uncomfortable belly pain getting worse starting affect daily life moreover get chill every night followed mild fever
